aircraft_type,landing_stabilisation_speed_type,apply_gusting,Vref_lead,Vref_foll,local_stabilisation_threshold_lead,local_stabilisation_threshold_foll,initial_procedural_speed_foll,end_initial_decel_foll,steady_procedural_speed_lead,steady_procedural_speed_foll,final_deceleration_lead,final_deceleration_foll,initial_deceleration_foll
A306,5,1,129.6,134.6,4,4,180,12,160,162,23.9,23.9,9.8
A310,5,1,141.6,146.6,4,4,180,12,160,162,14.5,14.5,10.9
A318,2,1,122,127,4,4,180,12,160,162,24,24,11.1
A319,4,1,124.8,129.8,4,4,180,12,160,162,23.6,23.6,9.5
A320,4,1,130.8,135.8,4,4,180,12,160,162,17.6,17.6,10.2
A321,4,1,134.3,139.3,4,4,180,12,160,162,14.3,14.3,9.7
A332,4,1,129.3,134.3,4,4,180,12,160,162,16.1,16.1,9.6
A333,4,1,132.4,137.4,4,4,180,12,160,162,15.5,15.5,9.7
A343,1,1,132.3,137.3,4,4,180,12,160,162,13.4,13.4,12.3
A346,1,1,141.3,146.3,4,4,180,12,160,162,11.2,11.2,10.2
A359,4,1,133.5,138.5,4,4,180,12,160,162,20.5,20.5,9.9
A388,4,1,133.6,138.6,5,5,180,12,160,162,14.9,14.9,7.7
B733,0,1,134.3,139.3,4,4,180,12,160,162,17.5,17.5,12.4
B734,0,1,138.8,143.8,4,4,180,12,160,162,14.9,14.9,12.4
B736,0,1,125.8,130.8,4,4,180,12,160,162,21.1,21.1,7.4
B737,0,1,130.3,135.3,4,4,180,12,160,162,18.2,18.2,7.8
B738,0,1,139.4,144.4,4,4,180,12,160,162,11.9,11.9,8.8
B739,0,1,141.6,146.6,4,4,180,12,160,162,13.2,13.2,9.8
B744,0,1,144.8,149.8,4,4,180,12,160,162,10.5,10.5,9.6
B752,0,1,127.9,132.9,4,4,180,12,160,162,20,20,10.7
B753,0,1,139.9,144.9,4,4,180,12,160,162,14.4,14.4,10.9
B763,0,1,136.7,141.7,4,4,180,12,160,162,17.8,17.8,11.1
B764,0,1,143.9,148.9,4,4,180,12,160,162,12.8,12.8,9.9
B772,0,1,136,141,4,4,180,12,160,162,20.6,20.6,10.4
B77L,0,1,139.7,144.7,4,4,180,12,160,162,17.1,17.1,9.6
B77W,0,1,144.3,149.3,4,4,180,12,160,162,12.5,12.5,9.1
B788,0,1,139,144,4,4,180,12,160,162,16,16,11.7
B789,0,1,141,146,4,4,180,12,160,162,11.1,11.1,10.3
CRJ9,7,1,132.2,137.2,4,4,180,12,160,162,14.7,14.7,15.9
DH8D,7,1,122.9,127.9,4,4,180,12,160,162,17.5,17.5,12.4
E190,6,1,127.5,132.5,4,4,180,12,160,162,20.6,20.6,12.4
F100,9,1,127,132,4,4,180,12,160,162,19.9,19.9,12.4
F70,9,1,128.8,133.8,4,4,180,12,160,162,18.5,18.5,10.5
RJ1H,0,1,126.4,131.4,4,4,180,12,160,162,21.8,21.8,12.4
C56X,7,,,,,,,,,,,,
GLEX,7,,,,,,,,,,,,
CL35,7,,,,,,,,,,,,
GLF5,7,,,,,,,,,,,,
GLF6,7,,,,,,,,,,,,
E195,6,,,,,,,,,,,,
E75L,6,,,,,,,,,,,,
BCS1,8,,,,,,,,,,,,
A35K,4,,,,,,,,,,,,
B38M,0,,,,,,,,,,,,
BCS3,8,,,,,,,,,,,,
A21N,4,,,,,,,,,,,,
A20N,4,,,,,,,,,,,,
