"Flight_Plan_ID","FP_Date","FP_Time","Callsign","SSR_Code","Aircraft_Type","Wake_Vortex","Origin","Destination","SID","Landing_Runway","Departure_Runway","Departure_Roll_Time","Departure_Liftoff_Time","DROT","Time_At_4DME","Time_At_1DME"
4,"11/11/17",14259.1484375,"BAW28",3520,"B77W","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,16252.0556640625,16329.9072265625
5,"11/11/17",14413.904296875,"BAW45B",7631,"B772","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,16464.052734375,16547.23828125
6,"11/11/17",14538.400390625,"BAW32",3521,"A388","J",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,17700.0625,17782.865234375
7,"11/11/17",14548.396484375,"BAW16",2007,"B77W","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,16592.068359375,16673.640625
8,"11/11/17",14650.1201171875,"CPA251",5255,"B77W","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,16928.052734375,17010.513671875
9,"11/11/17",15138.4287109375,"BAW74",4013,"B744","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,17060.060546875,17140.26953125
10,"11/11/17",15210.1748046875,"BAW58L",4014,"B744","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,17212.056640625,17286.416015625
11,"11/11/17",15463.1640625,"VIR207",3527,"B789","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,17544.060546875,17622.90234375
12,"11/11/17",15562.1259765625,"BAW12",2224,"A388","J",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,17364.056640625,17448.755859375
16,"11/11/17",17010.734375,"BAW262",2771,"B772","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,18660.064453125,18746.318359375
17,"11/11/17",17020.830078125,"UAL918",7647,"B772","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,19692.052734375,19775.517578125
18,"11/11/17",17285.673828125,"MAS2",3261,"A388","J",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,19044.068359375,19129.294921875
19,"11/11/17",17408.283203125,"BAW56",4016,"A388","J",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,19276.052734375,19362.4765625
21,"11/11/17",18261.86328125,"OMA103",2210,"A333","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,20120.06640625,20200.861328125
23,"11/11/17",18446.041015625,"UAL110",7654,"B764","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,21792.068359375,21884.044921875
24,"11/11/17",18507.6875,"BAW72",2213,"B789","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,21680.060546875,21762.2578125
26,"11/11/17",18671.70703125,"BAW6W",7662,"B744","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,22048.076171875,22130.537109375
27,"11/11/17",18712.439453125,"BAW244",5412,"B772","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,22876.060546875,22965.6484375
29,"11/11/17",18886.1875,"SIA322",4721,"A388","J",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,20696.076171875,20787.736328125
30,"11/11/17",18985.125,"BAW32N",7722,"B744","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,22540.0546875,22622.13671875
32,"11/11/17",19099.30078125,"UAL958",7634,"B763","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,22400.06640625,22487.6796875
33,"11/11/17",19130.359375,"DAL16",7665,"B763","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,22644.08203125,22733.19140625
34,"11/11/17",19171.216796875,"BAW106",3254,"B744","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,21876.056640625,21959.7421875
35,"11/11/17",19273.9453125,"AAL174",7723,"B772","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,23028.0703125,23121.77734375
36,"11/11/17",19294.26171875,"CPA255",3535,"B77W","H",NA,"EGLL",NA,"R27L",NA,NA,NA,NA,22204.068359375,22287.14453125
37,"11/11/17",19421.421875,"BAW5CA",7653,"B772","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,21968.076171875,22058.150390625
38,"11/11/17",19472.849609375,"UAL14",5403,"B763","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,22968.060546875,23056.07421875
39,"11/11/17",19534.181640625,"THA910",737,"A388","J",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,22464.068359375,22550.431640625
41,"11/11/17",19606.16015625,"BAW124",4704,"B772","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,22300.060546875,22385.751953125
42,"11/11/17",19637.19140625,"BAW66V",7635,"B744","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,22136.060546875,22216.994140625
43,"11/11/17",19698.39453125,"JAL41",3511,"B788","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,22800.0703125,22880.0546875
44,"11/11/17",19790.853515625,"DAL28",5407,"B763","H",NA,"EGLL",NA,"R27R",NA,NA,NA,NA,23596.06640625,23673.76953125
