"Volume_Name","Volume_Type","Runway_Name","Point_Sequence","Latitude","Longitude","Min_Altitude","Max_Altitude"
"09L_Climb_Out","PLT","R09L",1,0.897583,-0.00752745,-152.400009155273,2286
"09L_Climb_Out","PLT","R09L",2,0.899327,-0.00754175,-152.400009155273,2286
"09L_Climb_Out","PLT","R09L",3,0.899306,-0.0121992,-152.400009155273,2286
"09L_Climb_Out","PLT","R09L",4,0.897563,-0.0121748,-152.400009155273,2286
"09L_Climb_Out","PLT","R09L",5,0.897583,-0.00752745,-152.400009155273,2286
"09L_E_0DME","PLT","R09L",1,0.896709,-0.0084488,-152.400009155273,2286
"09L_E_0DME","PLT","R09L",2,0.900195,-0.00848145,-152.400009155273,2286
"09L_E_0DME","PLT","R09L",3,0.900198,-0.00754892,-152.400009155273,2286
"09L_E_0DME","PLT","R09L",4,0.896712,-0.00752032,-152.400009155273,2286
"09L_E_0DME","PLT","R09L",5,0.896709,-0.0084488,-152.400009155273,2286
"09L_E_4DME","PLT","R09L",1,0.900187,-0.0103465,-152.400009155273,2286
"09L_E_4DME","PLT","R09L",2,0.900198,-0.00754892,-152.400009155273,2286
"09L_E_4DME","PLT","R09L",3,0.896712,-0.00752032,-152.400009155273,2286
"09L_E_4DME","PLT","R09L",4,0.896701,-0.0103057,-152.400009155273,2286
"09L_E_4DME","PLT","R09L",5,0.900187,-0.0103465,-152.400009155273,2286
"09L_GT_1_N","PLT","R09L",1,0.898746,-0.00753697,-152.400009155273,2286
"09L_GT_1_N","PLT","R09L",2,0.898667,-0.0201022,-152.400009155273,2286
"09L_GT_1_N","PLT","R09L",3,0.900119,-0.0201371,-152.400009155273,2286
"09L_GT_1_N","PLT","R09L",4,0.900198,-0.00754892,-152.400009155273,2286
"09L_GT_1_N","PLT","R09L",5,0.898746,-0.00753697,-152.400009155273,2286
"09L_GT_1_S","PLT","R09L",1,0.898165,-0.00753221,-152.400009155273,2286
"09L_GT_1_S","PLT","R09L",2,0.898086,-0.0200883,-152.400009155273,2286
"09L_GT_1_S","PLT","R09L",3,0.896633,-0.0200537,-152.400009155273,2286
"09L_GT_1_S","PLT","R09L",4,0.896712,-0.00752032,-152.400009155273,2286
"09L_GT_1_S","PLT","R09L",5,0.898165,-0.00753221,-152.400009155273,2286
"09L_GT_3_N","PLT","R09L",1,0.899327,-0.00754175,-152.400009155273,2286
"09L_GT_3_N","PLT","R09L",2,0.899248,-0.0201162,-152.400009155273,2286
"09L_GT_3_N","PLT","R09L",3,0.900119,-0.0201371,-152.400009155273,2286
"09L_GT_3_N","PLT","R09L",4,0.900198,-0.00754892,-152.400009155273,2286
"09L_GT_3_N","PLT","R09L",5,0.899327,-0.00754175,-152.400009155273,2286
"09L_GT_3_S","PLT","R09L",1,0.897583,-0.00752745,-152.400009155273,2286
"09L_GT_3_S","PLT","R09L",2,0.897505,-0.0200744,-152.400009155273,2286
